uid,video_path,question,answer,question_type,time_reference
55,Cm73ma6Ibcs.mp4,"What year appears in the opening caption of the video?
(A) 1636
(B) 1366
(C) 1363
(D) 1633",D,['key information retrieval'],00:15-00:19
56,Cm73ma6Ibcs.mp4,"How is the weather like in the opening?
(A) Cloudy
(B) Snowy
(C) Sunny
(D) Rainy",B,['event understanding'],00:00-01:16
61,Cm73ma6Ibcs.mp4,"After the man with the gun threatens the cook, what does the protagonist do?
(A) The protagonist pushes the table aside and stands up, confronting the man. After a series of quarrels, she kills the man and leaves the restaurant. The chef follows her
(B) The protagonist pushes the table aside and stands up, confronting the man. After a series of quarrels, she injuries  the man and leaves the restaurant. The chef follows her
(C) The protagonist pushes the table aside and stands up, taking out her gun and pointing at the man. After a series of quarrels, she kills the man and leaves the restaurant. The chef follows her
(D) The protagonist pushes the table aside and stands up, taking out her gun and pointing at the man. After a series of quarrels, she kills the man and leaves the restaurant",A,['summarization'],04:19-08:41
62,Cm73ma6Ibcs.mp4,"What does the protagonist do when the man with the gun keeps approaching her?
(A) The protagonist cuts off the hand of the man with the gun with her sword
(B) The protagonist cuts off two fingers of the man with the gun with her sword
(C) The protagonist impales the man with the gun with her word
(D) The protagonist breaks the windows with her sword and flees",B,['event understanding'],06:04-06:17
63,Cm73ma6Ibcs.mp4,"How many sticks does the protagonist put in the incense burner?
(A) 3
(B) 2
(C) 5
(D) 1",D,['entity recognition'],10:43-10:50
65,Cm73ma6Ibcs.mp4,"Why are the mother and child, who line in front of the protagonist, unable to enter the city?
(A) They do not bribe the guard
(B) They are foreigners
(C) They bring illegal weapons
(D) They do not have a pass",A,['reasoning'],19:35-20:20
67,Cm73ma6Ibcs.mp4,"How many people are carrying the sedan chair for the woman?
(A) 4
(B) 8
(C) 6
(D) 2",C,['entity recognition'],24:06-24:40
68,Cm73ma6Ibcs.mp4,"What happens when the woman wearing a red kimono kneels?
(A) A child rides on her back
(B) A man kneels beside her
(C) A man takes out his sword
(D) A child hits her head with noodles",D,['event understanding'],26:10-26:16
71,Cm73ma6Ibcs.mp4,"How many times does the protagonist knock on the green door?
(A) 1
(B) 5
(C) 2
(D) 4",D,['event understanding'],31:05-31:45
72,Cm73ma6Ibcs.mp4,"What does the protagonist see through the window after she is taken to the utility room?
(A) A group of monks sitting cross-legged in the snow
(B) A group of citizens chatting together
(C) A group of warriors practicing swords
(D) A group of samurais eating",C,['event understanding'],33:57-34:04
73,Cm73ma6Ibcs.mp4,"Why does the protagonist tie iron to her limbs?
(A) Because she wants to strength her body
(B) Because irons are decorations
(C) Because she has superpower and iron surpress it
(D) Because tying iron is a culture tradition",A,['reasoning'],40:55-41:01
75,Cm73ma6Ibcs.mp4,"What does the protagonist wipe her face with when she is knocked to the ground during a solo fight?
(A) With snow on the ground
(B) With her sleeves
(C) With her hands
(D) With a handkerchief in her pocket",A,['entity recognition'],50:00-50:10
78,Cm73ma6Ibcs.mp4,"Why does the protagonist aim her sword at the cook?
(A) Because he is a spy
(B) Because he wants to steal the sword
(C) Because he wants to challenge the protagonist
(D) Because he finds out that the protagonist is a woman",D,['reasoning'],57:43-57:50
79,Cm73ma6Ibcs.mp4,"What is the protagonist primary objection at the spring?
(A) Sleep
(B) Drink some water
(C) Wash clothes
(D) Take a bath",D,['event understanding'],54:57-55:02
80,Cm73ma6Ibcs.mp4,"What else does the protagonist do in the shower besides taking a shower?
(A) Eat some food
(B) Stitches her wound
(C) Drink spring water
(D) Relax",B,['event understanding'],56:07-56:14
82,Cm73ma6Ibcs.mp4,"When the protagonist moves the table at the restaurant, what happens to the things on the table?
(A) One of the chopsticks on the bowl falls to the table
(B) One of the chopsticks on the bowl falls to the floor
(C) The seasoning bottle falls
(D) The bowl falls to the floor",A,['event understanding'],04:35-04:42
83,Cm73ma6Ibcs.mp4,"What part of the cook is different from other people?
(A) Leg
(B) Foot
(C) Eye
(D) Hand",D,"['entity recognition', 'reasoning']",03:00-03:03
84,Cm73ma6Ibcs.mp4,"What does the protagonist cut off from the man who she fights in the snow in the end?
(A) Leg
(B) Cloth
(C) Eye
(D) Hair",D,"['event understanding', 'entity recognition']",52:08-53:55
113,q01CUy_gwdU.mp4,"What color is the scene at the begining?
(A) White
(B) Blue
(C) Brown
(D) Grey",D,['event understanding'],01:01-01:01
115,q01CUy_gwdU.mp4,"What happens from 01:58-02:46?
(A) A woman runs, stumbles against a man, and knocks over all his stuff
(B) A woman runs, stumbles against a man, and he cries
(C) A man runs, stumbles against a woman, and she cries
(D) A man runs, stumbles against a woman, and knocks over all her stuff",D,"['summarization', 'temporal grounding']",01:58-02:46
117,q01CUy_gwdU.mp4,"What does the woman in red do after she collides with the man?
(A) She picks up things on the ground on her own and throws them away
(B) She picks up things on the ground with the man
(C) She picks up things on the ground on her own
(D) She picks up things on the ground with a passerby",C,['event understanding'],02:52-03:08
120,q01CUy_gwdU.mp4,"What does the man do after the second collision?
(A) He looks for his book
(B) He looks for his phone
(C) He looks for the woman
(D) He looks for the post",A,['event understanding'],04:42-05:00
121,q01CUy_gwdU.mp4,"Why does the man follow the woman in red after they meet for the third time?
(A) He falls in love with the woman
(B) He is a spy
(C) The woman has his phone
(D) The woman has his book",D,['event understanding'],05:15-05:31
123,q01CUy_gwdU.mp4,"What best summarizes the first half of the events when the woman and the man meet for the third time?
(A) They walk for a while and then sit down at the patio of a coffee shop. She eats, drinks, and smokes while the man stares at her. She goes to a beach
(B) They walk for a while and then sit down at the patio of a coffee shop. She eats, drinks, and smokes while the man reads a book. He then leaves
(C) They walk for a while and then sit down at the patio of a coffee shop. She eats, drinks, and smokes while the man stares at her. She then sits near a rive
(D) They walk for a while and then sit down at the patio of a coffee shop. She eats, drinks, and smokes while the man stares at her. He then leaves",C,"['event understanding', 'summarization']",06:26-07:04
125,q01CUy_gwdU.mp4,"What color is the first plane?
(A) Yellow
(B) Red
(C) White
(D) Blue",A,['entity recognition'],09:26-09:53
126,q01CUy_gwdU.mp4,"What appears on the screen after the fictional character from the man's book appears in the air for the first time, traveling between buildings?
(A) The book
(B) A butterfly
(C) A rainbow
(D) A plane",C,['entity recognition'],12:31-12:36
